"كود المعلم",الجنس,"سنوات الخبرة","الدرجة التعليمية",التخصص,"استخدام التقنية","معرفة التحويل","فعالية الوسائل البصرية","فئة السؤال","نص السؤال",الإجابة
TCH028,أنثى,"أكثر من 10 سنوات","درجة 3","العلوم والتكنولوجيا",متوسط,ضعيف,متوسط,,,
TCH029,أنثى,"أقل من 5 سنوات","درجة 3","اللغة العربية, التنشئة الاجتماعية",متوسط,"ضعيف جداً",جيد,,,
TCH030,أنثى,"بين 5-10 سنوات","درجة 2","اللغات الأجنبية",متوسط,"ضعيف جداً",جيد,,,
TCH031,أنثى,"أكثر من 10 سنوات","درجة 3","العلوم والتكنولوجيا",متوسط,ضعيف,جيد,,,
TCH032,أنثى,"بين 5-10 سنوات","درجة 3","العلوم والتكنولوجيا",متوسط,متوسط,ممتاز,,,
TCH033,أنثى,"بين 5-10 سنوات","درجة 2","اللغات الأجنبية",ضعيف,ضعيف,متوسط,,,
TCH034,أنثى,"بين 5-10 سنوات","درجة 1","العلوم والتكنولوجيا",ضعيف,"ضعيف جداً",جيد,,,
TCH035,ذكر,"بين 5-10 سنوات","درجة 3","اللغة العربية",متوسط,ضعيف,جيد,,,
TCH036,أنثى,"أقل من 5 سنوات","درجة 2","اللغة العربية",جيد,متوسط,ممتاز,,,
TCH037,أنثى,"بين 5-10 سنوات","درجة 3","اللغة العربية",متوسط,متوسط,جيد,,,
